GPA,SAT Reading & Writing,SAT Math,SAT Essay,Activity Score,Personal Statement Score,Residency,Race,Gender,Accepted
2.7,614,696,13,80,80,CA resident,White,Male,0
2.5,688,598,15,80,80,CA resident,Domestic unknown,Female,0
2.3,659,616,16,80,80,CA resident,Asian,Female,0
2.5,567,591,16,80,80,CA resident,International,Male,0
3.0,626,584,14,80,80,CA resident,White,Female,0
3.0,597,694,16,80,80,CA resident,Asian,Male,0
2.2,653,631,14,80,80,CA resident,Asian,Female,0
2.4,554,600,14,80,80,Non-resident domestic,International,Male,0
2.6,595,628,13,80,80,CA resident,International,Female,0
2.1,691,583,16,80,80,CA resident,White,Male,0
2.4,654,564,15,80,80,Non-resident domestic,Asian,Other,0
2.2,613,608,14,80,80,CA resident,International,Male,0
2.1,609,583,13,80,80,CA resident,White,Female,0
2.8,663,575,15,80,80,CA resident,Hispanic,Female,0
2.3,627,589,13,80,80,CA resident,Asian,Female,0
2.7,650,689,15,80,80,CA resident,Domestic unknown,Male,0
2.5,692,593,13,80,80,CA resident,Asian,Female,0
2.4,581,559,13,80,80,CA resident,Asian,Female,0
2.1,582,652,15,80,80,CA resident,International,Female,0
2.6,685,604,15,80,80,CA resident,International,Female,1
2.0,680,590,13,80,80,International,White,Female,0
2.4,563,557,13,80,80,CA resident,International,Male,0
2.4,687,575,16,80,80,CA resident,White,Female,0
3.0,698,571,16,80,80,CA resident,Hispanic,Male,0
2.2,663,586,13,80,80,CA resident,White,Female,0
2.1,661,622,15,80,80,International,International,Male,0
2.3,677,676,14,80,80,International,White,Female,0
2.9,585,613,14,80,80,CA resident,White,Male,0
2.9,661,697,15,80,80,CA resident,Hispanic,Female,0
2.8,604,667,15,80,80,CA resident,Hispanic,Female,0
2.3,647,691,15,80,80,CA resident,Asian,Female,0
2.2,588,630,14,80,80,CA resident,White,Male,1
2.7,622,677,16,80,80,CA resident,Hispanic,Male,0
2.3,596,682,16,80,80,International,International,Female,0
2.1,681,554,14,80,80,CA resident,White,Female,0
2.8,636,614,14,80,80,CA resident,International,Male,0
2.9,611,575,14,80,80,CA resident,Hispanic,Male,0
2.7,636,560,15,80,80,CA resident,Asian,Female,0
2.7,682,586,16,80,80,CA resident,International,Female,0
2.0,591,563,16,80,80,CA resident,Asian,Male,0
3.0,695,630,13,80,80,CA resident,White,Female,0
2.7,698,615,16,80,80,Unknown,International,Male,0
2.7,581,650,13,80,80,International,Hispanic,Female,0
2.1,663,611,16,80,80,International,White,Female,0
2.5,681,614,16,80,80,CA resident,International,Female,0
2.3,563,615,13,80,80,Non-resident domestic,Asian,Female,0
2.9,621,637,14,80,80,International,White,Male,0
3.0,570,629,16,80,80,CA resident,Asian,Female,0
2.3,576,566,15,80,80,CA resident,Asian,Female,0
2.3,628,671,15,80,80,CA resident,White,Female,0
2.0,689,683,15,80,80,CA resident,Asian,Female,0
2.2,699,628,14,80,80,CA resident,International,Male,0
2.7,651,642,15,80,80,CA resident,Hispanic,Female,0
2.1,651,691,16,80,80,CA resident,African American,Female,0
2.5,645,572,13,80,80,CA resident,Asian,Male,0
2.9,569,599,15,80,80,CA resident,International,Male,0
2.7,649,607,13,80,80,Non-resident domestic,Hispanic,Female,0
2.8,689,599,14,80,80,CA resident,Hispanic,Male,0
2.6,640,582,16,80,80,International,Hispanic,Genderqueer,0
2.7,568,693,15,80,80,CA resident,White,Female,0
2.5,683,694,13,80,80,International,Asian,Male,0
2.6,568,615,14,80,80,CA resident,Asian,Female,0
2.6,681,654,16,80,80,CA resident,Hispanic,Male,0
2.0,578,698,13,80,80,CA resident,International,Female,0
2.1,609,594,15,80,80,CA resident,White,Female,0
2.4,574,635,16,80,80,CA resident,White,Male,0
2.6,594,554,16,80,80,International,Asian,Male,0
2.0,610,616,15,80,80,CA resident,Hispanic,Female,1
2.3,609,615,15,80,80,Non-resident domestic,Asian,Female,0
2.5,666,664,13,80,80,CA resident,White,Male,0
2.0,574,585,14,80,80,CA resident,International,Male,0
2.7,550,604,14,80,80,Non-resident domestic,Asian,Male,0
2.9,604,657,15,80,80,CA resident,White,Male,0
2.2,680,635,15,80,80,CA resident,Asian,Male,0
2.1,609,626,14,80,80,CA resident,Asian,Female,0
