GPA,SAT Reading & Writing,SAT Math,SAT Essay,Activity Score,Personal Statement Score,Residency,Race,Gender,Accepted
3.9,771,734,16,80,80,Non-resident domestic,Hispanic,Female,1
3.8,775,756,16,80,80,CA resident,Asian,Male,1
3.5,784,720,17,80,80,Unknown,White,Female,1
3.7,785,723,17,80,80,Non-resident domestic,Asian,Female,1
3.7,734,771,16,80,80,Non-resident domestic,Asian,Female,1
3.8,700,733,16,80,80,CA resident,Asian,Male,1
4.0,791,742,16,80,80,CA resident,White,Female,1
3.6,793,731,18,80,80,CA resident,White,Female,1
3.8,763,743,18,80,80,CA resident,Asian,Male,1
3.7,729,771,17,80,80,CA resident,African American,Male,1
3.7,775,748,16,80,80,International,African American,Male,1
3.6,766,748,17,80,80,International,International,Female,1
3.8,796,759,17,80,80,CA resident,International,Female,1
3.6,798,719,17,80,80,CA resident,White,Male,1
3.7,748,782,16,80,80,CA resident,White,Male,1
3.5,754,705,18,80,80,CA resident,Hispanic,Male,1
4.0,710,717,18,80,80,CA resident,Asian,Female,1
3.7,756,783,18,80,80,CA resident,Asian,Male,1
3.7,734,783,17,80,80,CA resident,Domestic unknown,Female,1
3.9,744,776,17,80,80,CA resident,Asian,Male,1
3.7,730,750,17,80,80,CA resident,International,Female,1
3.9,800,711,16,80,80,International,Domestic unknown,Female,1
3.5,800,748,17,80,80,CA resident,Hispanic,Female,1
3.9,751,771,16,80,80,CA resident,Asian,Female,1
3.7,778,764,18,80,80,CA resident,Asian,Female,1
3.9,796,726,18,80,80,CA resident,White,Male,1
4.0,765,752,17,80,80,CA resident,White,Female,1
4.0,783,795,17,80,80,CA resident,Asian,Female,1
3.6,749,717,17,80,80,International,Asian,Male,1
3.8,730,740,18,80,80,Unknown,Asian,Female,1
3.6,741,750,17,80,80,CA resident,Asian,Male,1
3.6,751,756,17,80,80,CA resident,Asian,Female,1
3.5,729,783,17,80,80,CA resident,Asian,Female,1
3.7,786,702,17,80,80,CA resident,White,Female,1
3.5,730,769,17,80,80,CA resident,Hispanic,Male,1
3.9,755,752,17,80,80,International,International,Female,1
3.6,777,707,16,80,80,CA resident,Asian,Female,1
3.9,784,791,18,80,80,CA resident,Asian,Female,1
3.8,736,702,18,80,80,Non-resident domestic,International,Female,1
3.6,744,788,16,80,80,CA resident,International,Other,1
3.6,753,734,16,80,80,CA resident,International,Female,1
3.7,783,715,18,80,80,Unknown,Asian,Male,1
3.8,728,759,18,80,80,CA resident,Asian,Female,1
3.6,771,739,17,80,80,CA resident,International,Female,1
3.8,704,757,16,80,80,CA resident,African American,Female,1
3.9,701,753,16,80,80,Non-resident domestic,Asian,Female,1
3.9,779,754,18,80,80,CA resident,Asian,Male,0
3.6,776,795,16,80,80,CA resident,Asian,Female,1
3.7,712,738,17,80,80,Unknown,Domestic unknown,Female,1
3.7,796,768,17,80,80,CA resident,White,Female,1
3.6,781,736,17,80,80,CA resident,Hispanic,Male,1
3.7,759,738,18,80,80,CA resident,International,Male,1
4.0,778,748,16,80,80,International,White,Female,1
3.5,726,783,18,80,80,CA resident,Hispanic,Female,1
3.6,793,769,16,80,80,CA resident,Hispanic,Male,1
3.8,724,792,16,80,80,CA resident,Asian,Female,1
3.5,777,721,17,80,80,CA resident,Asian,Other,1
3.6,775,760,17,80,80,International,International,Female,1
3.9,738,784,18,80,80,Unknown,Hispanic,Female,1
4.0,782,740,18,80,80,CA resident,International,Male,1
3.7,700,728,16,80,80,CA resident,African American,Male,1
3.6,779,705,17,80,80,Non-resident domestic,Hispanic,Female,1
3.9,706,760,18,80,80,International,Asian,Female,1
3.8,716,786,18,80,80,CA resident,International,Genderqueer,1
3.8,773,727,16,80,80,CA resident,Hispanic,Male,1
3.7,773,773,18,80,80,CA resident,International,Female,1
3.7,784,718,16,80,80,CA resident,International,Female,1
3.6,767,740,18,80,80,CA resident,Asian,Male,1
3.9,760,730,16,80,80,Non-resident domestic,Asian,Male,1
3.7,721,733,16,80,80,CA resident,Asian,Female,1
3.6,789,748,16,80,80,CA resident,Asian,Female,1
3.9,765,716,17,80,80,CA resident,Asian,Female,0
3.9,744,773,17,80,80,International,Hispanic,Male,1
3.9,764,777,16,80,80,CA resident,Asian,Female,1
4.0,799,756,18,80,80,Non-resident domestic,White,Male,1
3.6,718,776,18,80,80,CA resident,White,Female,1
3.9,792,740,17,80,80,CA resident,Hispanic,Male,1
3.9,749,758,16,80,80,CA resident,White,Female,1
3.7,777,726,18,80,80,CA resident,Hispanic,Female,1
3.7,717,782,17,80,80,CA resident,Asian,Male,1
3.8,768,750,17,80,80,CA resident,White,Male,1
3.8,746,702,17,80,80,CA resident,Asian,Male,1
3.6,773,733,18,80,80,Unknown,Asian,Male,1
3.7,750,800,17,80,80,CA resident,International,Male,1
4.0,738,736,16,80,80,CA resident,Asian,Female,1
3.7,711,722,17,80,80,CA resident,Pacific Islander,Female,1
3.7,736,764,16,80,80,CA resident,Hispanic,Male,1
4.0,765,716,17,80,80,CA resident,White,Female,1
4.0,705,795,16,80,80,CA resident,Domestic unknown,Female,1
4.0,765,706,17,80,80,Non-resident domestic,White,Female,1
3.5,789,735,16,80,80,CA resident,International,Male,1
3.9,726,727,18,80,80,CA resident,African American,Female,1
3.6,725,759,16,80,80,CA resident,Hispanic,Male,1
3.7,751,746,16,80,80,CA resident,International,Male,0
3.9,748,721,16,80,80,CA resident,White,Male,1
3.5,759,740,18,80,80,Non-resident domestic,White,Male,1
3.6,759,703,17,80,80,International,White,Female,1
3.6,755,796,16,80,80,CA resident,Asian,Female,1
3.6,716,711,17,80,80,CA resident,Asian,Female,1
3.7,758,709,17,80,80,Non-resident domestic,Asian,Female,1
3.9,725,740,17,80,80,CA resident,Asian,Female,1
3.8,758,762,18,80,80,International,Hispanic,Female,0
3.6,772,795,18,80,80,International,Asian,Male,1
3.9,773,749,17,80,80,CA resident,Asian,Male,1
4.0,703,744,18,80,80,CA resident,Asian,Female,1
3.8,775,780,17,80,80,International,White,Male,1
3.6,771,783,17,80,80,CA resident,Hispanic,Male,1
3.7,739,784,17,80,80,Non-resident domestic,Hispanic,Female,0
3.9,743,768,18,80,80,CA resident,Hispanic,Male,1
3.6,757,713,17,80,80,CA resident,Asian,Female,0
3.8,764,752,17,80,80,Non-resident domestic,Asian,Female,1
3.8,780,742,16,80,80,CA resident,International,Female,1
3.6,705,737,16,80,80,CA resident,Asian,Male,1
3.6,744,720,16,80,80,CA resident,Hispanic,Male,1
3.9,752,734,18,80,80,CA resident,Asian,Female,1
3.8,792,700,16,80,80,Non-resident domestic,Hispanic,Male,1
3.7,731,795,18,80,80,International,White,Female,1
3.7,731,776,17,80,80,CA resident,Asian,Female,1
3.9,773,729,18,80,80,CA resident,International,Female,1
3.9,768,744,17,80,80,CA resident,Hispanic,Female,1
3.7,785,788,16,80,80,CA resident,White,Female,1
3.9,788,715,18,80,80,CA resident,White,Male,1
3.5,753,751,16,80,80,CA resident,White,Male,1
3.9,722,763,16,80,80,CA resident,International,Male,0
3.5,702,702,18,80,80,CA resident,White,Male,1
4.0,735,721,18,80,80,CA resident,Asian,Female,1
4.0,793,751,16,80,80,CA resident,White,Male,1
3.8,789,741,18,80,80,CA resident,White,Male,1
3.9,756,766,17,80,80,CA resident,International,Female,1
3.8,702,758,18,80,80,International,Asian,Female,1
3.5,738,773,17,80,80,CA resident,Hispanic,Female,1
3.9,720,793,18,80,80,CA resident,Asian,Male,1
4.0,715,790,17,80,80,CA resident,Hispanic,Male,1
3.9,714,744,18,80,80,CA resident,White,Female,1
3.6,702,745,17,80,80,Unknown,White,Male,1
3.7,769,712,18,80,80,CA resident,Asian,Female,1
3.9,700,787,16,80,80,CA resident,Hispanic,Female,1
3.9,758,729,18,80,80,CA resident,Asian,Female,1
3.6,739,743,17,80,80,Unknown,International,Female,0
3.9,792,743,16,80,80,CA resident,White,Male,1
3.7,783,769,16,80,80,International,Asian,Genderqueer,1
3.5,799,762,18,80,80,CA resident,Asian,Male,1
4.0,780,768,17,80,80,CA resident,Hispanic,Male,1
3.8,777,800,16,80,80,CA resident,White,Female,1
3.9,799,798,17,80,80,CA resident,African American,Female,1
3.6,723,733,18,80,80,Non-resident domestic,International,Male,1
3.8,729,751,18,80,80,International,White,Female,1
4.0,709,761,18,80,80,CA resident,Asian,Female,1
3.6,724,797,18,80,80,CA resident,International,Male,1
4.0,744,763,17,80,80,International,Asian,Female,1
3.8,713,772,17,80,80,CA resident,Asian,Female,1
3.9,710,740,16,80,80,CA resident,White,Female,1
3.8,742,702,18,80,80,CA resident,Asian,Female,1
3.9,735,713,16,80,80,Non-resident domestic,White,Male,1
3.6,706,770,18,80,80,International,White,Male,0
3.8,723,719,17,80,80,CA resident,Asian,Female,1
3.6,702,722,16,80,80,CA resident,Asian,Male,1
